166382
0	215	215
1	215	215
2	2	2
3	2	2
4	2	2
5	2	2
6	2	2
7	2	2
8	1	1
9	7	7
10	5	5
11	2	2
12	5	5
13	3	3
14	3	3
15	2	2
16	2	2
17	2	2
18	2	2
19	2	2
20	2	2
21	2	2
22	2	2
23	1	1
24	2	2
25	2	2
26	3	3
27	7	7
28	2	2
29	2	2
30	3	3
31	2	2
32	2	2
33	3	3
34	3	3
35	2	2
36	2	2
37	2	2
38	2	2
39	2	2
40	2	2
41	5	5
42	2	2
43	2	2
44	1	1
45	2	2
46	2	2
47	3	3
48	5	5
49	5	5
50	5	5
51	16	16
52	3	3
53	4	4
54	2	2
55	9	9
56	2	2
57	2	2
58	3	3
59	2	2
60	1	1
61	1	1
62	6	6
63	3	3
64	3	3
65	1	1
66	1	1
67	2	2
68	2	2
69	2	2
70	2	2
71	2	2
72	2	2
73	12	12
74	5	5
75	6	6
76	3	3
77	213	213
78	10	10
79	11	11
80	215	215
81	3	3
82	4	4
83	2	2
84	4	4
85	117	117
86	217	217
87	2	2
88	1	1
89	6	6
90	4	4
91	4	4
92	6	6
93	4	4
94	8	8
95	7	7
96	296	296
97	213	213
98	213	213
99	25	25
100	13	13
101	7	7
102	1	1
103	13	13
104	14	14
105	4	4
106	26	26
107	3	3
108	12	12
109	1	1
110	5	5
111	284	284
112	3	3
113	6	6
114	1	1
115	4	4
116	33	33
117	13	13
118	2	2
119	89	89
120	103	103
121	23	23
122	15	15
123	25	25
124	8	8
125	12	12
126	8	8
127	186	186
128	2	2
129	9	9
130	3	3
131	8	8
132	4	4
133	1	1
134	2	2
135	1	1
136	7	7
137	6	6
138	25	25
139	5	5
140	2	2
141	36	36
142	6	6
143	4	4
144	38	38
145	4	4
146	2	2
147	1	1
148	2	2
149	2	2
150	11	11
151	1	1
152	328	328
153	15	15
154	27	27
155	9	9
156	6	6
157	18	18
158	2	2
159	12	12
160	201	201
161	5	5
162	10	10
163	121	121
164	2	2
165	51	51
166	33	33
167	1	1
168	5	5
169	9	9
170	2	2
171	1	1
172	3	3
173	1	1
174	217	217
175	21	21
176	494	494
177	46	46
178	7	7
179	89	89
180	15	15
181	4	4
182	13	13
183	8	8
184	6	6
185	2	2
186	9	9
187	13	13
188	2	2
189	2	2
190	3	3
191	4	4
192	27	27
193	2	2
194	2	2
195	4	4
196	6	6
197	6	6
198	4	4
199	6	6
200	38	38
201	6	6
202	3	3
203	4	4
204	86	86
205	215	215
206	4	4
207	1	1
208	8	8
209	8	8
210	33	33
211	1	1
212	2	2
213	4	4
214	143	143
215	3	3
216	13	13
217	7	7
218	1	1
219	7	7
220	4	4
221	46	46
222	296	296
223	8	8
224	1115	1115
225	5	5
226	9	9
227	3	3
228	11	11
229	1	1
230	213	213
231	69	69
232	2	2
233	2	2
234	2	2
235	95	95
236	2	2
237	3	3
238	1	1
239	50	50
240	64	64
241	23	23
242	13	13
243	136	136
244	46	46
245	148	148
246	15	15
247	1	1
248	4	4
249	1	1
250	9	9
251	92	92
252	13	13
253	3	3
254	2	2
255	12	12
256	138	138
257	12	12
258	10	10
259	4	4
260	39	39
261	39	39
262	1	1
263	1	1
264	16	16
265	1	1
266	7	7
267	1	1
268	1	1
269	26	26
270	13	13
271	1	1
272	115	115
273	11	11
274	39	39
275	22	22
276	72	72
277	3	3
278	1	1
279	9	9
280	2	2
281	18	18
282	1	1
283	1	1
284	1	1
285	13	13
286	2	2
287	1	1
288	1	1
289	3	3
290	1	1
291	2	2
292	3	3
293	1	1
294	1	1
295	1	1
296	2	2
297	4	4
298	1	1
299	46	46
300	23	23
301	13	13
302	2	2
303	2	2
304	1	1
305	59	59
306	1	1
307	2	2
308	1	1
